ATTACK1:1
DENSITY1:1
GAIN1:1
GRAIN_LENGTH1:1
J1:1
LOOP_END1:1
LOOP_START1:1
PAN1:1
PITCH1:1
PLAY_SPEED1:1
R1:1
R2:1
R3:1
R4:1
RELEASE1:1
S1:1
S2:1
S3:1
S4:1
SPRAY1:1
SPREAD1:1
U1:1
U3:1
